C3:C4:C1:C2
Material	Number of occurrences	C1:virus	C1:bacteria	C1:fungus	C1:plant	C1:animalia 	C1:insect	C1:fish	C1:arachnid	C2:molecular entity	C2:cellular part	C2:cell	C2:tissue	C2:organism	C2:organ	C3:biological	C3:device	C3:chemical	C3:data	C4:raw data	C4:processed data	C4:analysed data
streptomyces rimosus	5		1											1		1						
salmonella typhi	5		1											1		1						
ralstonia phage rsl1	5	1												1		1						
veionella parvula	5													1		1						
drosophila erecta	5					1								1		1						
poecilia reticulata	4					1								1		1						
buchnera sp.	4													1		1						
erwinia chrysanthemi	4		1											1		1						
bluetongue virus 2	4	1												1		1						
phaseolus coccineus	4				1									1		1						
mycobacterium leprae	4		1											1		1						
neisseria gonorrhoeae f62	4		1											1		1						
thellungiella halophila	4				1									1		1						
aspergillus fumigatus af293	4			1										1		1						
oreochromis niloticus	4			1										1		1						
cymbidium ringspot virus	4	1												1		1						
rhodopseudomonas palustris cga009	4		1											1		1						
escherichia coli uti89	4		1											1		1						
salmonella enterica subsp. enterica serovar typhi str. ct18	4		1											1		1						
human adenovirus 7	4	1												1		1						
saccharomyces boulardii	4			1										1		1						
saccharomyces bayanus x saccharomyces cerevisiae	4			1										1		1						
human respiratory syncytial virus b1	4	1												1		1						
acidithiobacillus ferrooxidans	4		1											1		1						
xiphophorus	4					1								1		1						
callicebus cupreus	4					1								1		1						
lophura nycthemera	4					1								1		1						
aspergillus clavatus	4			1										1		1						
bordetella sp.	4		1											1		1						
citrus sunki x poncirus trifoloata	4				1									1		1						
bromus inermis	4				1									1		1						
musa sp.	4													1		1						
bifidobacterium breve	4		1											1		1						
salmonella	4		1											1		1						
penicillium corylophilum	3			1										1		1						
penicillium islandicum	3			1										1		1						
bipolaris sorokiniana	3			1										1		1						
claviceps purpurea	3			1										1		1						
drosophila santomea	3					1								1		1						
nectria rigidiuscula	3			1										1		1						
leptospira interrogans serovar lai str. 56601	3		1											1		1						
streptomyces griseus	3		1											1		1						
aegilops tauschii	3				1									1		1						
trichophyton verrucosum	3			1										1		1						
fusarium avenaceum	3			1										1		1						
drechslera sp.	3													1		1						
calyptogena kilmeri gill symbiont	3													1		1						
rhizoctonia solani	3		1											1		1						
fusarium sporotrichioides	3			1										1		1						
epidermophyton floccosum	3			1										1		1						
citrus trifoliata	3				1									1		1						
fusarium solani	3			1										1		1						
lactococcus phage c2	3		1											1		1						
penicillium rugulosum	3			1										1		1						
potato virus x	3	1												1		1						
aspergillus multicolor	3			1										1		1						
trichophyton terrestre	3			1										1		1						
penicillium funiculosum	3			1										1		1						
arthroderma uncinatum	3			1										1		1						
arthroderma gypseum	3			1										1		1						
senecio chrysanthemifolius	3				1									1		1						
arabidopsis frankenfurter	3				1									1		1						
rickettsia prowazekii rp22	3		1											1		1						
senecio aethnensis	3				1									1		1						
eurotium chevalieri	3			1										1		1						
miscanthus x giganteus	3			1										1		1						
aspergillus carbonarius	3			1										1		1						
arthroderma obtusum	3			1										1		1						
penicillium viridicatum	3			1										1		1						
listeria monocytogenes 10403s	3		1											1		1						
trichophyton violaceum	3			1										1		1						
eurotium amstelodami	3													1		1						
trichophyton longifusum	3			1										1		1						
penicillium italicum	3			1										1		1						
neisseria cinerea	3													1		1						
leptospira interrogans serovar lai	3													1		1						
arthroderma cajetani	3			1										1		1						
fusarium subglutinans	3			1										1		1						
fusarium anthophilum	3			1										1		1						
drosophila teissieri	3					1								1		1						
microsporum distortum	3			1										1		1						
stenocarpella maydis	3													1		1						
bacillus anthracis str. ames	3		1											1		1						
fusarium equiseti	3			1										1		1						
microsporum gallinae	3			1										1		1						
fusarium acuminatum	3			1										1		1						
tomato spotted wilt virus	3	1												1		1						
rickettsia prowazekii	3		1											1		1						
fusarium globosum	3			1										1		1						
fusarium cerealis	3			1										1		1						
brassica juncea	3				1									1		1						
masticophis flagellum testaceus	3					1								1		1						
pantherophis obsoletus lindheimeri	3					1								1		1						
neisseria elongata	3			1										1		1						
arabidopsis arenosa	3			1										1		1						
leptosphaerulina chartarum	3													1		1						
cochliobolus lunatus	3			1										1		1						
gibberella pulicaris	3			1										1		1						
fusarium incarnatum	3			1										1		1						
pantoea stewartii	3		1											1		1						
penicillium fellutanum	3		1											1		1						
tribolium castaneum	3					1								1		1						
trichophyton megninii	3			1										1		1						
penicillium expansum	3		1											1		1						
calyptogena pacifica gill symbiont	3													1		1						
delphinapterus leucas	3					1								1		1						
trichophyton schoenleinii	3			1										1		1						
agrotis ipsilon	3					1								1		1						
crotalus atrox	3					1								1		1						
microsporum ferrugineum	3			1										1		1						
trichophyton soudanense	3			1										1		1						
chlorocebus sabaeus	3			1										1		1						
arthroderma racemosum	3			1										1		1						
aspergillus versicolor	3			1										1		1						
monodelphis domestica	3					1								1		1						
crassostrea ariakensis	3					1								1		1						
alternaria alternata	3			1										1		1						
streptococcus suis 05zyh33	2		1											1		1						
porphyromonas gingivalis atcc 33277	2		1											1		1						
bacteroides fragilis ych46	2		1											1		1						
micrococcus luteus	2		1											1		1						
dehalococcoides sp. Vs	2		1											1		1						
bromus secalinus	2				1									1		1						
populus	2				1									1		1						
carpus carpio	2					1								1		1						
european bat lyssavirus 1	2	1												1		1						
chrysolophus pictus	2					1								1		1						
rattus sp.	2					1								1		1						
ornithorhynchus anatinus	2					1								1		1						
cyanophage s rsm5	2	1												1		1						
butyrivibrio proteoclasticus b316	2		1											1		1						
pseudomonas putida kt2440	2		1											1		1						
strelkovimermis	2					1								1		1						
none	2													1		1						
lactococcus lactis subsp. cremoris nz9000	2		1											1		1						
human adenovirus 40	2	1												1		1						
human adenovirus 41	2	1												1		1						
candida albicans x candida dubliniensis	2			1										1		1						
chrysolophus amherstiae	2													1		1						
synechococcus phage s io9	2	1												1		1						
astatotilapia tweddlei	2					1								1		1						
gyps africanus	2					1								1		1						
petunia x hybrida	2				1									1		1						
gyps fulvus	2					1								1		1						
calyptogena magnifica symbiont	2													1		1						
python regius	2					1								1		1						
brachypodium distachyon	2				1									1		1						
isochrysis galbana	2				1									1		1						
methanobrevibacter ruminantium m1	2		1											1		1						
lilium longiflorum	2				1									1		1						
cyanophage s bnm1	2	1												1		1						
legionella longbeachae	2		1											1		1						
clostridium botulinum a str. atcc 3502	2		1											1		1						
metarhizium acridum	2		1											1		1						
methylosinus trichosporium ob3b	2		1											1		1						
manihot esculenta	2				1									1		1						
lactobacillus iatae	2		1											1		1						
locusta migratoria	2					1								1		1						
ricinus communis	2				1									1		1						
rhamphochromis sp. 'chilingali'	2					1								1		1						
human respiratory syncytial virus a strain long	2	1												1		1						
methylobacterium extorquens am1	2		1											1		1						
senecio x baxteri	2		1											1		1						
bacteroides fragilis	2		1											1		1						
neisseria polysaccharea	2			1										1		1						
callipepla californica	2					1								1		1						
escherichia coli bl21(de3)	2		1											1		1						
geobacillus sp. e263	2		1											1		1						
gyps rueppelli	2					1								1		1						
protomelas similis	2					1								1		1						
synechococcus phage s io17	2	1												1		1						
escherichia coli b	2		1											1		1						
synechococcus phage s io21	2	1												1		1						
podoviridae	2	1												1		1						
dehalobacter restrictus	2		1											1		1						
euphorbia pulcherrima	2				1									1		1						
triticum turgidum subsp. durum	2				1									1		1						
corallus hortulanus	2					1								1		1						
maylandia estherae	2					1								1		1						
synechococcus phage s rsm2	2	1												1		1						
ralstonia pickettii	1		1											1		1						
candidatus kuenenia stuttgartiensis	1		1											1		1						
caldicellulosiruptor owensensis	1		1											1		1						
lactococcus lactis subsp. hordniae	1		1											1		1						
enterococcus faecalis v583	1		1											1		1						
monosiga brevicollis	1													1		1						
anaerocellum thermophilum	1		1											1		1						
duvenhage virus	1	1												1		1						
selaginella	1				1									1		1						
paxillus filamentosus	1			1										1		1						
european bat lyssavirus 2	1	1												1		1						
streptomyces bikiniensis	1		1											1		1						
bartonella quintana	1		1											1		1						
clostridium baratii	1		1											1		1						
artificial sequences	1													1		1						
mokola virus	1	1												1		1						
neisseria flavescens	1			1										1		1						
canis lupus	1					1								1		1						
human echovirus 18	1	1												1		1						
listeria monocytogenes fsl j2 071	1		1											1		1						
liriodendron tulipifera	1				1									1		1						
human herpesvirus 1	1	1												1		1						
zaire ebolavirus	1	1												1		1						
caldicellulosiruptor lactoaceticus	1		1											1		1						
trichoplax adhaerens	1					1								1		1						
p. moluccensis	1					1								1		1						
pinus resinosa	1				1									1		1						
arabis mosaic virus	1	1												1		1						
bean pod mottle virus	1	1												1		1						
escherichia coli cft073	1		1											1		1						
locusta migratoria manilensis	1					1								1		1						
cronobacter muytjensii	1		1											1		1						
macroptilium atropurpureum	1				1									1		1						
citrus sunki	1				1									1		1						
staphylococcus saprophyticus subsp. saprophyticus	1		1											1		1						
zinnia violacea	1				1									1		1						
nc10 bacterium 'dutch sediment'	1		1											1		1						
vesicular stomatitis indiana virus	1	1												1		1						
clonorchis sinensis	1					1								1		1						
branchiostoma belcheri	1					1								1		1						
falco chiquera	1					1								1		1						
clostridium butyricum	1		1											1		1						
tachyglossus aculeatus	1					1								1		1						
geospiza magnirostris	1					1								1		1						
ralstonia syzygii	1		1											1		1						
tobacco mosaic virus	1	1												1		1						
clostridium argentinense	1		1											1		1						
streptococcus pyogenes mgas5005	1		1											1		1						
influenza a virus (a/texas/36/1991(h1n1))	1	1												1		1						
bartonella koehlerae	1		1											1		1						
geospiza scandens	1					1								1		1						
tobacco ringspot virus	1	1												1		1						
ceratopteris thalictroides	1				1									1		1						
neisseria mucosa	1			1										1		1						
polytrichum juniperinum	1				1									1		1						
streptomyces microflavus	1		1											1		1						
zoarces viviparus	1	1												1		1						
australian bat lyssavirus	1	1												1		1						
human adenovirus 4	1	1												1		1						
streptomyces tanashiensis	1		1	1										1		1						
streptomyces maritimus	1		1	1										1		1						
plum pox virus	1	1												1		1						
lassa virus josiah	1	1												1		1						
southern bean mosaic virus	1	1												1		1						
taraxacum officinale	1				1									1		1						
cronobacter malonaticus	1		1											1		1						
listeria monocytogenes fsl f2 208	1		1											1		1						
candida albicancs	1			1										1		1						
listeria monocytogenes fsl j1 208	1		1											1		1						
streptomyces cattleya	1		1											1		1						
streptomyces aureofaciens	1		1											1		1						
caldicellulosiruptor hydrothermalis	1		1											1		1						
neosartorya fischeri	1			1										1		1						
senecio vulgaris subsp. vulgaris	1				1									1		1						
gephyrocapsa oceanica	1													1		1						
tomato ringspot virus	1	1												1		1						
geospiza conirostris	1					1								1		1						
pavo cristatus	1				1									1		1						
cronobacter dublinensis	1		1											1		1						
hypophthalmichthys nobilis	1					1								1		1						
geospiza difficilis	1					1								1		1						
vigna unguiculata subsp. unguiculata	1				1									1		1						
hypophthalmichthys molitrix	1													1		1						
streptomyces fradiae	1		1											1		1						
streptomyces virginiae	1		1											1		1						
streptomyces exfoliatus	1		1											1		1						
streptomyces rochei	1		1											1		1						
d. rerio	1					1								1		1						
pyrococcus furiosus	1		1											1		1						
streptomyces venezuelae	1		1											1		1						
sars coronavirus tor2	1	1												1		1						
neosartorya fennelliae	1			1										1		1						
prunus necrotic ringspot virus	1	1												1		1						
streptomyces antibioticus	1		1											1		1						
caldicellulosiruptor kronotskyensis	1		1											1		1						
neisseria cuniculi	1		1											1		1						
streptosporangium roseum	1		1											1		1						
lactobacillus helveticus cnrz32	1		1											1		1						
cronobacter turicensis	1		1											1		1						
lagos bat virus	1	1												1		1						
porphyra yezoensis	1				1									1		1						
ectocarpus fasciulatus	1				1									1		1						
streptomyces reticuliscabiei	1		1											1		1						
plasmodium knowlesi	1													1		1						
geospiza fortis	1					1								1		1						
caldicellulosiruptor kristjanssonii	1		1											1		1						
bacillus cereus g9842	1		1											1		1						
negative	40													1		1						
staphylococcus aureus	26		1											1		1						
escherichia coli	19		1											1		1						
enterococcus faecalis	11		1											1		1						
staphylococcus epidermidis	10		1											1		1						
na	9													1		1						
streptococcus pneumoniae	8		1											1		1						
streptococcus pyogenes (a)	7		1											1		1						
coagulase negative staphylococci (cns)	6		1											1		1						
klebsiella pneumoniae	6		1											1		1						
enterococcus faecium	5		1											1		1						
streptococcus viridans	4		1											1		1						
enterococcus sp	4		1											1		1						
candida albicans	4		1											1		1						
klebsiella oxytoca	4		1											1		1						
pseudomonas aeruginosa	3		1											1		1						
fusobacterium necrophorum	3		1											1		1						
salmonella enteritidis	3		1											1		1						
propionibacter sp	2		1											1		1						
bacteroides fragilis group	2		1											1		1						
"escherichia coli, streptococcus viridans"	2		1											1		1						
bacillus sp	2		1											1		1						
staphylococcus haemolyticus	2		1											1		1						
streptococcus agalactiae (b)	2		1											1		1						
streptococcus betahemolytic group c	1		1											1		1						
micrococcus sp	1		1											1		1						
streptococcus bovis (d)	1		1											1		1						
diphtheroid	1		1											1		1						
"fusobacterium nucleatum, micromonas micros"	1		1											1		1						
stenotrophomonas maltophilia	1		1											1		1						
pseudomonas like gram  rod	1		1											1		1						
enterobacter cloacae	1		1											1		1						
salmonella paratyphi a	1		1											1		1						
"klebsiella pneumoniae, streptococcus sanguis"	1		1											1		1						
enterococcus casseliflavus	1		1											1		1						
liver	9787					1								1		1						
lung	8516					1								1		1						
blood	4799					1							1		1	1						
bone marrow	4186					1									1	1						
mammary gland	3862					1									1	1						
heart	3361					1									1	1						
brain	3201				1										1	1						
leaf	3086					1									1	1						
cardiac ventricle	2955					1									1	1						
kidney	2153					1									1	1						
peripheral blood	1934					1							1		1	1						
pancreas	1799					1									1	1						
hippocampus	1648					1									1	1						
heart	1485					1									1	1						
prostate	1414					1									1	1						
cardiac ventricle	1317					1									1	1						
liver	1219					1									1	1						
skeletal muscle	1163					1									1	1						
ovary	1092					1									1	1						
skin	1051					1									1	1						
colon	997					1									1	1						
testis	968					1									1	1						
root	957					1									1	1						
whole organism	923					1								1		1						
spleen	912					1									1	1						
peripheral blood	819					1									1	1						
cerebellum	678					1									1	1						
left ventricle	672					1									1	1						
lymph node	668					1									1	1						
pancreas	660					1									1	1						
tumor	622					1									1	1						
whole blood	604					1									1	1						
muscle	542					1									1	1						
adipose tissue	504					1									1	1						
breast	456					1									1	1						
uterus	450					1									1	1						
bone marrow	418					1									1	1						
islet	416					1									1	1						
thymus	404					1									1	1						
hematopoietic and lymphatic system	385					1									1	1						
spinal cord	379					1									1	1						
aorta	363					1									1	1						
gastric mucosae	353					1									1	1						
leaves	333				1										1	1						
bladder	327					1									1	1						
thyroid gland	317					1									1	1						
hypothalamus	316					1									1	1						
adrenal gland	297					1									1	1						
hippocampus ca1 4	281					1									1	1						
lung	273					1									1	1						
stomach	273					1									1	1						
intestine	257					1									1	1						
jejunum	256					1									1	1						
caudate nucleus	245					1									1	1						
spinal cord (t9)	244					1									1	1						
amygdala	244					1									1	1						
muscle tissue	242					1									1	1						
retina	242					1									1	1						
shoot	238					1									1	1						
bark	236					1									1	1						
islet	236					1									1	1						
trachea	234					1									1	1						
primary gastric tumor	231					1									1	1						
oesophagus	227					1									1	1						
bone	220					1									1	1						
rosette leaf	217				1										1	1						
hypocotyl	217				1										1	1						
serum	215					1									1	1						
flower	211					1									1	1						
placenta	204					1									1	1						
peripheral blood	203					1									1	1						
fat	200					1									1	1						
bone marrow	200					1									1	1						
heart left ventricle	198					1									1	1						
embryo	192					1									1	1						
whole organ	190					1									1	1						
liver	188					1									1	1						
leaf	188					1									1	1						
whole body	177					1									1	1						
seed	177				1										1	1						
umbilical cord	177					1									1	1						
oral cavity	176					1									1	1						
gastrocnemius muscle	176					1									1	1						
breast tumor	172					1									1	1						
cortex	170					1									1	1						
leaf lamina abaxial epidermis	168					1									1	1						
seminal root	168					1									1	1						
prefrontal cortex	168					1									1	1						
coleoptile	168					1									1	1						
callus	167					1									1	1						
shoot apex	165					1									1	1						
artery	164					1									1	1						
duodenum	162					1									1	1						
synovium of knee joint	162					1									1	1						
synovium of knee joint	162					1									1	1						
abdomen	159					1									1	1						
paw	156					1									1	1						
head	156					1									1	1						
whole blood	155					1									1	1						
spinal cord (t10)	151					1									1	1						
spinal cord (t8)	149					1									1	1						
frontal lobe	148					1									1	1						
islet of langerhans	148					1									1	1						
femur	146					1									1	1						
cord blood	146					1									1	1						
heart ventricle	140					1									1	1						
pituitary gland	140					1									1	1						
nasal epithelium	138					1									1	1						
esophagus	137					1									1	1						
oropharynx	136					1									1	1						
heart	135					1									1	1						
endometrium	134					1									1	1						
lymph node	133					1									1	1						
endothelium (aorta)	133					1									1	1						
epididymis	133					1									1	1						
blood vessel	133					1									1	1						
kidney	132					1									1	1						
sigmoid colon mucosa	131					1									1	1						
gill	131					1									1	1						
kidney	130					1									1	1						
peritoneal fat	130					1									1	1						
lung cancer	130					1									1	1						
aortic media	130					1									1	1						
apex of cardiac ventricle	128					1									1	1						
structure of apex of left ventricle	128					1									1	1						
structure of apex of left ventricle	128					1									1	1						
breast tissue	125					1									1	1						
aerial parts	125				1										1	1						
somatomotor cortex	125					1									1	1						
prostate gland	125					1									1	1						
adrenal tissue	124					1									1	1						
olfactory mucosa	123					1									1	1						
frontal cortex	123					1									1	1						
flag leaf	122				1										1	1						
endosperm tissue	122				1										1	1						
whole seedling	122				1										1	1						
5th trifoliate leaflets of 2 plants	120				1										1	1						
raphe magnus	119				1										1	1						
"back, skin"	117					1									1	1						
salivary gland	113					1									1	1						
endothelium (aorta)	113					1									1	1						
skin	112					1									1	1						
large intestine	112					1									1	1						
dorsal root ganglion	112					1									1	1						
cerebral cortex	110					1									1	1						
myometrium	108				1										1	1						
first leaf unfolded	108					1									1	1						
epidermis	106					1									1	1						
thyroid	105					1									1	1						
decidua basalis	104					1									1	1						
rosette	103				1										1	1						
fruit	103				1										1	1						
genomic dna	102					1									1	1						
adipose	101					1									1	1						
mammary gland	101					1									1	1						
dermis	100					1									1	1						
tuber	100					1									1	1						
cervix tumor	99					1									1	1						
non tumoral	98					1									1	1						
skeletal muscle	98					1									1	1						
neuroepithelium	96					1									1	1						
hypopharynx	95					1									1	1						
lymph node tumor	94					1									1	1						
extraocular muscle	94					1									1	1						
nodule	92					1									1	1						
vastus lateralis	91					1									1	1						
common carotid artery	90					1									1	1						
right median lobe	88					1									1	1						
foreskin	87					1									1	1						
tumor	86					1									1	1						
ileum	85					1									1	1						
subcutaneous adipose tissue	84					1									1	1						
ventricle	83					1									1	1						
cotyledons	83				1										1	1						
mesenteric adipose tissue	82					1									1	1						
pulmonary artery	81					1									1	1						
small intestine	81					1									1	1						
umbilical cord blood	80					1									1	1						
gastrocnemius muscles	80					1									1	1						
forebrain	79					1									1	1						
whole brain	79					1									1	1						
mucosa of duodenum	78					1									1	1						
midgut	78					1									1	1						
gluteal fat	78					1									1	1						
back skin	78					1									1	1						
primary shoot	77					1									1	1						
abdominal fat	77					1									1	1						
lens	77					1									1	1						
left lobe	76					1									1	1						
gastrocnemius/soleus muscle	76					1									1	1						
epididymal adipose tissue	75					1									1	1						
right main bronchus	74					1									1	1						
descending colon	73					1									1	1						
lung	73					1									1	1						
placental basal plate	72					1									1	1						
umbilical vein	72					1									1	1						
above ground tissue	72					1									1	1						
the region above the infartion lad artery	72					1									1	1						
neuroepithelium	72					1									1	1						
colon mucosa	71					1									1	1						
dentate	71					1									1	1						
optic nerve head	70					1									1	1						
bronchus	70					1									1	1						
left median lobe	69					1									1	1						
ca 3	68					1									1	1						
central nervous system	67					1									1	1						
right lung	67					1									1	1						
cartilage	66					1									1	1						
eye	65					1									1	1						
midbrain	63					1									1	1						
mycelium	62					1									1	1						
non neoplastic tissues	62					1									1	1						
non neoplastic tissues	62					1									1	1						
tumor	62					1									1	1						
prostate	62					1									1	1						
parieto occipital cortex	61					1									1	1						
root tip	61					1									1	1						
hemolymph	61					1									1	1						
dorsolateral prefrontal cortex	61					1									1	1						
seedling	61					1									1	1						
olfactory epithelium	60					1									1	1						
gdna bac fragment	60					1									1	1						
pancreatic islets	60					1									1	1						
atrial myocardium	60					1									1	1						
submandibular glands	60					1									1	1						
endosperm	60				1										1	1						
somatic embryo	59					1									1	1						
right ear surface	59					1									1	1						
soleus muscle	59					1									1	1						
pleura	59					1									1	1						
bronchial epithelium	58					1									1	1						
substantia nigra	58					1									1	1						
cervix	57					1									1	1						
all	57					1									1	1						
umbilical cord	56					1									1	1						
seminiferous tubule	55					1									1	1						
tongue	55					1									1	1						
seedling   aerial parts	55				1										1	1						
cotyledon	55				1										1	1						
right hind paw	53					1									1	1						
whole rosette leaves	53				1										1	1						
rectum	52					1									1	1						
whole shoot	51				1										1	1						
mammary gland; breast	50					1									1	1						
quadriceps femoris muscle	49					1									1	1						
cochlea	49					1									1	1						
striatum	48					1									1	1						
left ear surface	48					1									1	1						
inflorescence	48				1										1	1						
brain stem	48					1									1	1						
cortex	48					1									1	1						
midbrain	48					1									1	1						
testis	48					1									1	1						
mesonephros	47					1									1	1						
terminal ileum	46					1									1	1						
whole	46					1									1	1						
rosette leaves	46				1										1	1						
the region between the lad artery and the apex	46					1									1	1						
skin	46					1									1	1						
suprachiasmatic nucleus	45					1									1	1						
entorhinal cortex	45					1									1	1						
cerebral meninges	45					1									1	1						
dorsolateral prefrontal cortex	44					1									1	1						
connective tissue	44					1									1	1						
leaf 7+8	44				1										1	1						
t8 spinal segment (location of trauma)	44					1									1	1						
white adipose tissue	43					1									1	1						
adductor muscle	43					1									1	1						
es	43					1									1	1						
"white, adipocyte"	43					1									1	1						
skeletal muscle vastus lateralis	42					1									1	1						
leaves 1 and 2	42				1										1	1						
diaphragm muscle	42					1									1	1						
tail bud	42					1									1	1						
grain	42					1									1	1						
cardiac muscle	42					1									1	1						
nodose ganglion visceral sensory neurons	41					1									1	1						
thymus gland	41					1									1	1						
caryopsis	41					1									1	1						
atrial tissue	40					1									1	1						
sciatic nerve	40					1									1	1						
"gastrocnemius and soleus muscle, hind limb"	40					1									1	1						
entire tibial plateau	40					1									1	1						
apical region	40					1									1	1						
condyle	40					1									1	1						
cartilage	40					1									1	1						
whole head	39					1									1	1						
radicle	39					1									1	1						
brain subventricular zone	39					1									1	1						
epidydimal white adipose tissue	38					1									1	1						
caudal to trauma	38					1									1	1						
vulva	38					1									1	1						
liver (embryonic)	38					1									1	1						
whole animal	38					1									1	1						
haemolymphoid system	37					1									1	1						
rostral to trauma	37					1									1	1						
dorsal root ganglion visceral sensory neurons	37					1									1	1						
anterior cingulate cortex	37					1									1	1						
whole preimplantation embryo	36					1									1	1						
abdominal fatbody	36					1									1	1						
"frontal cortex, primary motor cortex, brodmann's area 4"	36					1									1	1						
bed nucleus of the stria terminalis	36					1									1	1						
head and thorax	36					1									1	1						
tooth germ	36					1									1	1						
wing imaginal disc	36					1									1	1						
apices	36					1									1	1						
5mm leaf disk	36				1										1	1						
leaves 2 and 3 combined	36				1										1	1						
embryonic stem cells	35					1									1	1						
decidua	35					1									1	1						
cervix uteri	35					1									1	1						
medial gastrocnemius	34					1									1	1						
olfactory bulb	34					1									1	1						
roots	34					1									1	1						
diaphragm	34					1									1	1						
brown adipose tissue	33					1									1	1						
alveolus	33					1									1	1						
macrophages	33					1									1	1						
broca's area	33					1									1	1						
tibialis anterior	33					1									1	1						
ventral tegmental area	33					1									1	1						
cingulate cortex	32					1									1	1						
proximal colon	32					1									1	1						
blastocyst	32					1									1	1						
tumoral	32					1									1	1						
tonsil	32					1									1	1						
ascending colon	32					1									1	1						
cerebellum	32					1									1	1						
10days after pollination kernels	32					1									1	1						
cervix	31					1									1	1						
stamen	31					1									1	1						
brain hemisphere	31					1									1	1						
bursa	31					1									1	1						
medial temporal lobe	31					1									1	1						
root susceptible zone	31					1									1	1						
back skin	31					1									1	1						
cerebellum (vermis)	30					1									1	1						
petiole	30				1										1	1						
vastus lateralis muscle	30					1									1	1						
zygotic embryo	30					1									1	1						
spike	30					1									1	1						
accumbens	30					1									1	1						
genital ridges	30					1									1	1						
chorioamniotic membrane	30					1									1	1						
"frontal cortex, superior motor cortex, brodmann's area 9"	30					1									1	1						
whole embryo except yolk and amnion	30					1									1	1						
murine hippocampus	29					1									1	1						
smooth muscle	29					1									1	1						
nucleus accumbens shell	29					1									1	1						
dorsal neural tube	29					1									1	1						
larynx	29					1									1	1						
both ventricles	29					1									1	1						
nucleus accumbens shell	29					1									1	1						
dorsal hypothalamus	28					1									1	1						
mucosa	28					1									1	1						
cancerous liver tissue	28					1									1	1						
retroperitoneal adipose tissue	28					1									1	1						
whole preimplantation embryos	28					1									1	1						
ventral hypothalamus	28					1									1	1						
brain frontal cortex	28					1									1	1						
nodules	28					1									1	1						
apex	28					1									1	1						
pollen grain	28					1									1	1						
dorsal epaxial fast muscle	28					1									1	1						
eye discs	28					1									1	1						
anterior pituitary	28					1									1	1						
ventral forebrain	28					1									1	1						
primary tumor	27					1									1	1						
interventricular septum	27					1									1	1						
lacrimal glands	27					1									1	1						
caecum	27					1									1	1						
right presomitic mesoderm (posterior half)	27					1									1	1						
adult leaf	27					1									1	1						
lower lobe lung	27					1									1	1						
distal colon	27					1									1	1						
pyriform sinus	27					1									1	1						
hindlimb muscle	27					1									1	1						
neocortex	27					1									1	1						
spleen	27					1									1	1						
biceps femoris	26					1									1	1						
knee synovium	26					1									1	1						
non cancerous liver tissue	26					1									1	1						
thoracic aorta	26					1									1	1						
areal part	26					1									1	1						
tonsil	25					1									1	1						
langerhans cell histiocytosis lesion	25					1									1	1						
tibialis anterior muscle	25					1									1	1						
testes	25					1									1	1						
stem	25				1										1	1						
leaves 1 + 2	25				1										1	1						
wing/haltere/third leg	25					1									1	1						
atrial chamber	25					1									1	1						
xenograft	25					1									1	1						
extracardiac body tissue	24					1									1	1						
hepatopancreas	24					1									1	1						
para tracheal lymph node	24					1									1	1						
kidney medulla	24					1									1	1						
kidney cortex	24					1									1	1						
shoot meristem	24				1										1	1						
micropylar endosperm	24					1									1	1						
leaf bud	24				1										1	1						
vastus lateralis skeletal muscle	24					1									1	1						
"brain, occipital cortex"	24					1									1	1						
acinar	24					1									1	1						
humerus	24					1									1	1						
"shoot apex, inflorescence (after bolting)"	24				1										1	1						
substantia nigra pars compacta	24					1									1	1						
mantle	24					1									1	1						
fat body	24					1									1	1						
carpel	24					1									1	1						
colorectal	24					1									1	1						
seed cotyledo	24					1									1	1						
stomach	23					1									1	1						
bronchial lymph node	23					1									1	1						
trichome	23					1									1	1						
vestibular nerve	23					1									1	1						
wbc	23					1									1	1						
umbilical cord vein	23					1									1	1						
pistil	23				1										1	1						
nodose root ganglion	23					1									1	1						
bronchus or trachea	22					1									1	1						
xylem	22				1										1	1						
periaqueductal grey	22					1									1	1						
pbmc	22					1									1	1						
bursa of fabricius	22					1									1	1						
whole shoots	22				1										1	1						
cornea	22					1									1	1						
tumour sample	22					1									1	1						
subcutaneous abdominal adipose tissue	22					1									1	1						
floral bud	22				1										1	1						
mucosa from proximal duodenum	22					1									1	1						
preputial gland	22					1									1	1						
pancreatic islet	22					1									1	1						
pancreas	22					1									1	1						
b7.5 lineage cells	21					1									1	1						
reference	21					1									1	1						
extensor digitorum longus	21					1									1	1						
"brain, prefrontal cortex"	21					1									1	1						
pons	21					1									1	1						
brain orbitofrontal cortex	21					1									1	1						
brainstem	21					1									1	1						
brown fat	21					1									1	1						
edge of left lobe	21					1									1	1						
mesothelium	21					1									1	1						
peripheral blood or tonsil	20					1									1	1						
whole embryo except amnion	20					1									1	1						
tissue	20					1									1	1						
fruit skin and pulp	20				1										1	1						
hindlimb	20					1									1	1						
metanephric mesenchyme	20					1									1	1						
dentate gyrus	20					1									1	1						
uterus;ovary	20					1									1	1						
dorsal root ganglia	20					1									1	1						
petal	20					1									1	1						
fruit cortex	20				1										1	1						
splenocytes and lymph nodes	20					1									1	1						
pancreatic progenitor	20					1									1	1						
thalamus	20					1									1	1						
nervous system	20					1									1	1						
retina	20					1									1	1						
uterus;ovary	20					1									1	1						
brain	20					1									1	1						
breast epithelium	19					1									1	1						
facs purified beta cells	19					1									1	1						
breast tumour	19					1									1	1						
